fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,tl_used_cm,bw_used_g,swimming_speed_m_s,swimming_speed_tl_s,mo2_mg_o2_kg_h,cot_mg_o2_kg_km,is_lowflow_0_1_m_s,is_active_speed,is_uopt_speed,used_for_active_metrics,speed_step_status,table_s2_uopt_m_s,table_s2_mincot_mg_o2_kg_km,table_s2_mo2_at_uopt_mg_o2_kg_h,uopt_position_flag,active_metrics_status,source_raw_mo2_row,source_raw_cot_row,notes
Eel 8,E08FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,66.8,310,0.4,0.5988023952095809,34.4,23.888888888888886,False,True,True,True,uopt_speed,0.4,23.888888888888886,34.4,single_active_point,single_active_point,14,15,Only one valid active speed point was available; active metrics status is single_active_point.
Eel 9,E09FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,65.3,440,0.1,0.1531393568147014,30.35523773999966,84.32010483333238,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,15,16,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.1,0.14430014430014432,38.97825800869543,108.27293891304284,True,False,False,False,lowflow_0.1_m_s,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.4,0.5772005772005773,40.14971572695635,27.881747032608573,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.5,0.7215007215007215,37.59376099304345,20.885422773913028,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.6,0.8658008658008658,54.02994262956517,25.01386232850239,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.7,1.0101010101010102,35.30405369739124,14.009545118012397,False,True,True,True,uopt_speed,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,Uopt/minCOT occurs at an interior observed active speed.
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.8,1.1544011544011545,72.52509928695659,25.18232614130437,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 10,E10FW18,2012-09,2012,Y2,2,FW18,Freshwater,18,69.3,414,0.9,1.298701298701299,74.83254262956534,23.0964637745572,False,True,False,True,active_measured,0.7,14.009545118012397,35.30405369739124,interior_minimum,valid,16,17,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.1,0.13262599469496023,41.65297425795253,115.70270627209034,True,False,False,False,lowflow_0.1_m_s,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
